property name ,Room Price (in BDT or any other currency),review_count,Comment about room
857. Sabaidee Guesthouse," 1,630",201,"motorcycle hire shop (Prasert) 
A really friendly and helpful owner, nice pool and the chalet I had was nice. The price was good too. 
Breakfast was included and is cook…"
858. Baan Thai Lanta Resort," 10,983",122,"beach overlooking the Andaman sea, with individual traditional Thai style villas. There are only a few villas set in a lovely garden that is perfectly manicured with..."
859. The Blanket Hotel," 3,871",87,"clean, and quiet at night."
860. Horizon Residence Rentals," 7,636",68,"because they didn’t have lots . And they were slow to answer your emails. But very happy with my decision! Everywhere is modern, our rooms were spacious and..."
861. Villa Duang Champa," 4,096",246,windows so very bright and airy.
862. Aonang O2 Boutique Hotel," 1,582",132,make sure your stay is pleasant.. one employee took time each day to teach me thai..making study sheets for me..great local experience..I suggest this place
863. Centra By Centara Hotel Bangkok Phra Nakhon," 6,467",52,"The hotel is well located (if you like to walk, no need for"
864. Thong Takian Villa," 4,105",248,a perfect location.
865. Secret Garden Koh Phangan," 3,830",55,"My bungalow (of which I believe there are 15), is air conditioned, has a beautiful"
866. Khaosan Art Hotel," 2,108",236,It may not be a luxury hotel to post on social media but provides what
867. Huan Chiang Dao Resort," 2,524",123,"surrounded by lots of trees and vegetation. The couple in charge of the place were very friendly and helpful. Anything we needed, they provided. I can’t wait to…"
868. Orchids Guest House," 1,472",184,"sufficiently functional. Room service was available. The reception area had a common fridge, complimentary fruits, and a counter for making coffee/tea. The hotel was..."
869. The Noi Guest House & Restaurant," 2,972",147,"very friendly and helpful Near beach, near restaurants."
870. Ancora Y&W Boutique Hotel," 2,891",147,extended for another night. We just had a great stay here. Everything was good. The hotel is on the main road and there is parking lots which is good. 100% recommend
871. Khanom Beach Resort & Spa," 19,562",56,
872. The Sea Koh Samui Resort & Spa By Tolani," 12,372",372,Breakfast
873. Kaibae Beach Resort," 10,283",167,"have a new big swimming pool which is nice breakfast is good 
A couple of things to mention there is not a lot of umbrellas around the pool for shade and the ones..."
874. Banyan Bay Villas," 8,595",93,Banyan bay villas was just so lovely with the most lovely staff and owner. The food was fabulous - made and presented with such love and care. The villa was very...
875. Destination Resorts Phuket Surin Beach," 7,241","1,736",
876. New Siam Riverside Guest House," 6,189",796,"of this lovely riverside hotel we stayed at on three separate occasions. Staff were great, especially Kao (meaning the number 9) who was utterly charming and..."
877. Les Collines Khaoyai Resort & Tours," 4,474",65,"Excellent relationship quality price. Wonderful thai-grench cuisine and tours in the national park. Les collines has simple cottages with fan, as well as slightly more..."
878. Esmeralda View Resort," 3,932",130,view is stunning and the breakfast is extraordinary! They use fresh vegetables and fruits from their own beautiful natural garden. The atmosphere is friendly and...
879. Elephant Bay Resort," 1,440",195,"price (rocky beach). Great facilities:games, books, pool. Staff is very friendly (Dee ). Stayed there twice and the value is perfect. NYE celebration was..."
880. OYO 240 Ketawa Pet Friendly Hotel Chiangmai," 9,854",174,soda. Coffee was nice and reasonable price for a nice cafe. Went into the pet zone and had cuddles with the adorable dogs and kitty in there. After being inside the...
881. The Blanket Hotel," 3,871",87,"clean, and quiet at night."
882. Column Bangkok Hotel," 9,745",486,It has the perfect location and price and the views
883. Baan Sailom Hotel," 5,261",141,were in working order.
884. Cliff Cottage resort and restaurant," 2,183",313,"surroundings, great snorkeling! Stayed in aircon room with sea view. Excellent value money! Wifi only in common area. Choose to eat in the village so can not comment!"
885. Maison de Sukhothai," 7,070",75,looking for a unique experience off from sukhothai or new sukhothai cities this is THE place you should chose for your stay. Conveniently located between Sukhothai and...
886. Moonstone Studio & Villa," 4,268",115,moon party post covid with two fellow travellers (aged 25-35). Moonstone was an incredible place to have this experience from. As a female in a room by myself I felt...
887. Penpark Place," 2,763",331,"double/single beds, wardrobe, and air conditioner. 
The room was quite clean and not too noisy.
The staff was super nice and accomodating. They help us a lot!"
888. Seven Seas Hotel," 3,821",165,"so hard to make your holiday happy.

Very near to the beach and at the north end of the town , it is good.

The food is very nice cooked by a chef who understands..."
889. Angelot Villa," 5,589",69,amazing! The owner welcome me at the arrival even so i arrived late at night and made me feel like at home. The pool is also s great place to relax...much better than to...
890. Parasol Inn Chiang Mai Old City Hotel," 1,434",407,food and great service.Nice patio type  seating as well .  we didn't stay here at the hotel .Just came for food. The location is excellent next to the Temples and a...
891. The Nature House Aonang Krabi Thailand," 7,859",60,a little out of the way but no problem at all if you have transport. Everything was nicely prepared for our arrival and very clean and tidy. Daisy was delightful…
892. HQ Hostel Silom," 2,701",232,always greeted us with a smile.They are willing and ready to assist and give advice if needed. It's a chilled environment where you can sit around and watch TV or…
893. Baan Ing Ping," 2,374",106,"friendly staff looking after you. Excellent assistance to find your way around town.
Very spacious rooms and bathroom.
Breakfast is very basic and not included but..."
894. Khun Yuam Resort," 1,555",72,this great place for the first time. I was impressed about the location and the views. Make sure your alarm clock wakes you at seven en enjoy the rising of the sun...
895. Loftel Station Hostel," 2,342",87,"nice place to stay.
Very clean toilet & shower room.
Have a lovely hot shower after non stop walking,exploring Bangkok.
Easy access to the train station.
Will try..."
896. Baan Kong Homestay," 3,089",131,"too much trouble. The owners are really nice and helpful, and they offer a wide range of services. The location is really good, not too far from the night market…"
897. Baan Sukhumvit Inn Soi 20," 3,474",202,"travellers' . In a nutshell, the location is very central to the whole Sukhumvit road area with nearby Skytrain and underground trains walking distance, and..."
898. EZ House," 1,163",134,The room was spacious and clean- they cleaned our room daily. We also had breakfast and lunch here one a couple of occasions and the food was good value for money and...
899. Aukotan Place," 2,662",184,"Free pick up and drop off to the pier when arriving and departing. 
Breakfast included in stay, was a decent breakfast. 
Rooms are large and comfortable with a..."
900. Greenfield Valley Fishing Resort," 5,158",65,"fish.
Very friendly staff, very good food. The accommodations are clean and sufficiently large. Very nice view of the lake. We felt very comfortable.  We had a…"
901. La Miniera Pool Villas Pattaya," 22,079",31,"service and the rooms! only hotel ill stay at here and the “welcome drink” is amazing i cant wait to come back 
 i cant wait to come back
 i cant wait to come back"
902. Trinity Silom Hotel," 4,059","1,903",the BRT station and a lot of eateries around. I arrived around 10 AM and they allowed me to check-in early since they had a room available. It was super nice of the...
903. Sabai Sabai Beach Bungalows," 3,766",207,"feel! We love this place.  very welcoming for families, I felt very safe here and highly recommend it! Bungalows are perfect right on the beach. Truly paradise! The..."
904. Palm Leaf Resort," 7,233",388,"staff
Well-kept surrounding areas with bright and colourful flowers
Good value for money
- Didn't feel very private and we could hear lots of surrounding noise"
905. Viangbua Mansion," 4,055",170,Highly
906. Marina Sands Resort," 7,383",66,A newly built
907. Krabi River Hotel," 2,339",193,Fab little hotel
908. Phangan Island View Hotel," 4,739",201,"to attractions.  
 We really liked this hotel, not fancy, not close to a beach, but the pool is very nice.   They have security at night time and the owner lives…"
909. Aonang Miti Resort," 3,845",245,"road, yet convenient enough for meals and massage nearby. Love the spacious room, but only issue for us is soundproof, you can hear sound from first floor, even..."
910. White Flower Lanta," 9,750",45,the southern part of Long Beach. They have different rental apartments. Our apartment had everything we could wish for. It was clean and fresh. Well-functioning…
911. At Chiang Mai Hotel," 3,097",235,"staff. Room spacious but not very new, needs to be renovated. Breakfast nothing to complaint.Nice little pool. Bathrobes, on the other hand are made for small…"
912. Little PP Hometel," 2,993",78,airport. The room was clean and well designed. Water was warm and the aircon worked good. We will recommend people to stay here. Food in the café downstairs was…
913. Varinda Garden Resort," 4,743",315,"it might be, that the looks is wanted.
We have used the pool, which overlooks Lamai Beach.
The pool is nice, but there are some hazards like slippery flooring…"
914. BearPacker Patong Hostel," 6,103",127,"Great facilities,"
